"","Provincia","Total","0 años","1 año","2 años","3 años","4 años","5 años","6 años","7 años","8 años","9 años","10 años","11 años","12 años","13 años","14 años","15 años","16 años","17 años","18 años","19 años","20 años","21 años","22 años","23 años","24 años","25 años","26 años","27 años","28 años","29 años","30 años","31 años","32 años","33 años","34 años","35 años","36 años","37 años","38 años","39 años","40 años","41 años","42 años","43 años","44 años","45 años","46 años","47 años","48 años","49 años","50 años","51 años","52 años","53 años","54 años","55 años","56 años","57 años","58 años","59 años","60 años","61 años","62 años","63 años","64 años","65 años","66 años","67 años","68 años","69 años","70 años","71 años","72 años","73 años","74 años","75 años","76 años","77 años","78 años","79 años","80 años","81 años","82 años","83 años","84 años","85 años","86 años","87 años","88 años","89 años","90 años","91 años","92 años","93 años","94 años","95 años","96 años","97 años","98 años","99 años","100 y más años","file","año","sexo"
"1","Total Nacional",21335282.858859,235080.879413,230516.760991,221645.156374,219513.067897,216113.52333,209037.105757,204061.01359,202123.056714,199636.112531,201172.107492,203923.480916,212338.017196,219876.68964,219769.256607,222829.822937,228153.032625,231848.551323,236560.261212,244217.046946,257001.683743,270362.725434,283492.316246,305661.433194,325303.834619,346062.892393,361328.959158,383849.771421,392113.717264,401444.450019,401452.421038,398220.155214,389606.578337,388039.903688,380672.379465,376886.048313,370988.798939,368049.555059,368515.714677,361095.313697,357417.631569,362238.086504,345410.264511,333094.061359,324505.235434,327099.553095,317806.708782,310978.354596,303203.786637,282835.825592,274237.593399,260708.489684,262313.126866,261603.443749,243579.207991,238366.702864,246000.983113,257980.16942,235334.558615,223843.30869,234978.079922,222453.706019,220222.835888,189847.644152,175408.549864,214686.063427,140898.977644,160454.458912,179089.654257,193289.189904,187332.972956,183503.329651,185756.51878,179896.507549,167943.687109,162919.576342,149459.050282,142242.828607,128043.997902,122215.89865,109236.556559,100631.102893,91416.529521,81544.646075,70916.835979,56676.353109,43444.509072,36873.896069,30855.718079,25832.781029,21786.411931,17626.025131,14065.708929,11006.174115,8036.141991,5838.58144,4117.417562,2730.142486,1862.172148,1134.259484,740.062459,1146.617102,"2005hombres.xls","2005","hombres"
"2","02 Albacete",189664.539363,1951.558716,1998.442184,1909.134716,1903.340497,1925.473707,1980.932691,2003.146026,1959.794731,2052.633781,2109.773281,2072.052042,2053.354668,2215.943908,2269.655608,2442.915586,2370.939514,2287.530056,2365.427782,2385.345558,2424.259495,2611.645216,2697.63902,2897.733728,2932.621782,2957.97823,3192.52655,3405.235101,3242.985367,3292.93519,3249.929371,3270.151862,3239.632238,3156.885782,3105.222958,3155.250917,3249.693917,3192.590582,3195.693484,3116.871969,3128.484014,3283.415516,3110.468804,2976.99966,2974.189258,3034.326379,2881.038099,2660.34676,2596.237458,2178.630692,2091.758234,2076.495175,2050.969472,2044.231886,1843.027368,1866.520746,1938.299022,1996.843423,1769.403763,1593.52669,1688.278486,1668.177387,1737.015962,1556.849174,1416.549983,2162.106594,1055.078868,1507.489178,1727.808672,1739.310544,1784.54252,1638.444087,1695.219256,1698.0167,1669.335824,1698.882131,1516.34828,1488.041742,1390.68567,1299.215578,1098.659598,1063.922134,970.052567,838.791724,767.4397,569.997704,421.369196,356.582806,345.342396,269.288102,208.184834,200.718598,140.9,109.800456,71.702318,44.066046,38.5827,24.751314,24.733574,7,5.533346,9.633384,"2005hombres.xls","2005","hombres"
"3","03 Alicante/Alacant",828503.728983,9212.117771,9036.654041,8591.264562,8859.223243,8589.932279,8135.677709,8218.195518,8064.435289,8102.738387,8059.359464,8163.210841,8410.586227,8807.358285,8934.780752,9052.61854,9015.933237,9303.41029,9323.641649,9527.83428,9884.580755,10321.31834,10653.609976,11841.660409,12530.102423,13384.786291,14063.068968,14898.793021,15186.120283,15485.141559,15248.806415,15263.633416,14912.268973,14640.490808,14432.431751,14390.997959,14234.989293,13957.337375,13901.364688,13715.37448,13432.661726,13925.164247,13236.070458,12602.614897,12271.568122,12197.299628,11855.569285,11818.265841,11267.055763,10182.968319,10260.080323,9593.807406,9717.397182,9791.02463,9296.983164,8993.631962,9117.927745,9951.721326,9350.263274,8984.398833,9189.194966,9177.108954,9075.367412,8014.408359,7841.201566,9987.836405,6854.257569,8217.698074,8085.128967,7866.080199,7843.579596,7419.297856,7351.724165,6780.649054,6368.718399,6514.125962,5619.816665,5261.330987,4624.726658,4678.492399,4083.198036,3698.592474,3217.348263,2907.674998,2508.020616,1953.626226,1466.866817,1141.241642,986.887173,892.119158,646.96428,555.835733,417.881316,329.207218,213.939295,177.599519,97.701867,83.483878,62.795018,30.453224,25.149924,34.074418,"2005hombres.xls","2005","hombres"
"4","04 Almería",309588.674456,3882.548018,3640.779798,3406.057606,3637.063336,3466.882593,3559.828993,3402.773404,3381.745557,3341.235194,3457.402962,3429.3948,3523.532157,3771.562568,3699.940966,4002.383687,3970.892989,3878.954881,4097.720692,4068.614242,4232.474728,4544.793645,4941.450135,5398.398997,5598.998705,6012.073308,6307.596742,6611.645427,6598.367669,6776.368021,6490.500912,6280.413305,6070.612936,6080.896133,5754.566998,5762.546127,5644.018319,5590.051118,5502.584381,5400.79395,5171.852704,5187.853286,5012.636618,4635.825682,4500.899117,4564.282723,4433.259502,4359.959766,4015.632894,3719.252841,3671.882892,3390.515697,3399.632101,3283.04292,3138.693751,2847.18654,2933.54176,3191.78946,2773.098412,2681.020162,2739.453537,2392.120983,2400.36168,2118.500148,1922.503041,2540.209644,1508.989464,1871.729406,2157.659716,2295.221325,2205.847065,2130.241644,2137.639482,1999.319965,1870.011608,1810.36693,1614.247466,1516.763891,1445.722916,1335.401185,1202.030953,1104.352187,905.716894,881.762059,668.926814,551.30113,442.964792,359.408237,299.777124,206.987463,222.54321,156.576316,109.294296,114.166996,64.297836,63.150228,26.533194,24.49758,8.687944,9.315742,9.598492,14.149046,"2005hombres.xls","2005","hombres"
"5","01 Araba/Álava",149174.427571,1460.493092,1423.2036,1317.339504,1301.676562,1343.101564,1223.144357,1180.588804,1189.80534,1207.395067,1142.6028,1116.121538,1184.893969,1203.292938,1268.026251,1234.372888,1330.761321,1386.816493,1433.163596,1539.859109,1616.339353,1806.421578,1868.160245,1959.041571,2187.770473,2329.147774,2430.699808,2678.253518,2758.268239,2897.495332,2847.988766,2835.005486,2782.693635,2722.560989,2790.987464,2586.168698,2637.387052,2661.626512,2601.70945,2560.748332,2562.578738,2619.659628,2469.694876,2370.874514,2353.656523,2308.485371,2361.218439,2269.345331,2254.324777,2194.116784,2068.090317,2060.187015,2051.085338,2146.867002,1917.598477,1937.074625,2035.671281,2094.755887,1954.153366,1946.603228,1923.912514,1892.503383,1777.406114,1498.748883,1383.819936,1565.33311,1103.591266,1250.982598,1224.714192,1456.05691,1381.102882,1326.477664,1339.064282,1237.05448,1235.232228,1133.762372,955.465942,983.534902,829.212856,803.73622,732.970946,628.067502,567.346134,546.97286,432.045022,379.924722,285.242242,254.202814,231.068354,178.689228,137.916104,126.567036,87.949392,93.015192,57.334582,42.578064,32.782548,17.683346,3.550324,7.05,2.95,5.63384,"2005hombres.xls","2005","hombres"
"6","33 Asturias",509138.774797,3746.528846,3642.388543,3459.243909,3786.640666,3568.219286,3520.708606,3365.973195,3444.244309,3372.000505,3452.771963,3478.193496,3711.825389,3863.801558,4056.250222,4040.722454,4200.091441,4516.807151,4927.900523,5409.541016,5663.087448,5833.832956,6296.908482,6493.959218,6970.928759,7541.762185,7875.781389,8394.25921,8622.387505,8922.887667,8707.18062,8499.179272,8114.434835,8261.629166,8215.859158,7845.130113,7785.248075,7681.208064,8005.233515,7751.921136,7876.185925,8161.598248,7980.898737,8077.016395,8132.148944,8307.757389,8282.68138,8124.121743,8408.44095,8033.939054,7702.344163,7562.542494,7570.070956,7544.668132,7108.630418,7174.06119,7211.04181,7377.05912,6667.72594,6763.341531,6692.049076,6135.018558,5896.846452,4979.209392,4721.278766,4991.829006,3917.147089,4412.867056,4682.237705,5784.801286,5606.464565,5840.043432,5788.052344,5818.18717,5268.639586,5367.909169,4718.610322,4678.277012,4246.46653,4026.83923,3693.429428,3398.221542,2913.71804,2735.075907,2336.530738,1954.105768,1495.367831,1230.17799,1012.827076,844.30668,706.921038,570.78679,444.686238,355.851706,266.518605,173.17865,131.421518,63.153302,65.316578,26.040478,12.533346,22.885432,"2005hombres.xls","2005","hombres"
"7","05 Ávila",83388.008447,664.0997,580.724871,635.687848,631.40257,630.202262,637.496387,640.761852,610.851392,692.040849,703.364589,732.417754,722.109941,755.905187,768.632061,802.813262,832.001919,872.083449,893.97202,943.738148,891.947787,917.117902,890.590766,1012.57222,1028.001287,1125.637821,1098.219461,1199.020393,1228.965728,1237.894436,1246.845238,1186.528053,1195.824723,1146.924583,1160.403134,1158.304669,1214.326987,1182.429835,1224.045063,1228.272121,1221.057394,1308.558785,1340.351362,1332.822234,1317.030952,1367.209148,1310.900597,1243.357268,1233.787751,1170.968665,1199.373194,1078.047828,1070.728696,1079.501945,964.130186,935.574386,996.307399,1032.0525,995.8418,856.470239,969.04735,955.21066,900.961032,815.825794,779.287272,963.16458,657.124056,775.300436,878.34153,1014.36233,993.614584,1049.02261,1011.407745,1034.488858,981.915314,1012.006818,910.02173,907.256844,832.588262,808.238664,761.081056,745.97216,675.760586,631.052398,546.846788,439.285268,353.071002,295.126296,252.54303,217.215058,181.414482,142.218972,132.173304,103.663722,82.876766,68.733726,39.001938,20.266654,26.950722,16.733498,10.3173,18.266655,"2005hombres.xls","2005","hombres"
"8","06 Badajoz",328913.685336,3285.834676,3392.36668,3336.048299,3453.804419,3394.693495,3422.739578,3376.297389,3514.937361,3505.067285,3677.819504,3780.796087,3929.159014,4198.616489,4231.624732,4386.312556,4386.43197,4566.537338,4573.166079,4571.012928,4494.396023,4693.560322,4754.247212,4933.9516,4920.738079,5014.324589,5063.165484,5039.454246,4966.605298,5171.698656,5127.742944,5120.437028,5234.350058,5299.291086,5046.024767,5167.752688,5176.068011,5309.355433,5171.370267,5314.929109,5310.789558,5598.933274,5487.534532,5325.185873,5073.806733,5279.686464,4899.55824,4925.185642,4492.971677,4191.527335,3919.108679,3656.819301,3884.288088,3830.909815,3625.939304,3208.270142,3497.22217,3671.572871,3499.003098,2980.786111,3341.145209,3433.915228,3449.714159,2750.885298,2184.887949,3148.200195,2128.984426,2370.07495,2829.612718,3358.418687,3358.072228,3023.565346,3199.245976,3166.740405,2919.44938,2588.917176,2634.944478,2515.312765,2157.522656,2092.920286,1832.512088,1605.795296,1518.338456,1321.470917,1204.884168,920.994249,718.789012,603.958886,491.769996,362.556042,294.069756,258.728426,186.589078,161.478854,117.43498,91.795926,65.850304,53.575016,34.95,14.526156,17.316654,21.943875,"2005hombres.xls","2005","hombres"
"9","07 Balears, Illes",468878.46565,5548.08877,5518.400889,5530.103874,5084.59539,5002.498591,4805.755266,4753.174956,4666.597231,4552.136019,4509.653015,4549.635276,4597.004543,4875.347284,5009.070748,4939.011923,4897.96527,4982.538085,4996.523909,5154.050651,5484.895167,5731.491004,6053.396338,6600.274434,7094.658728,7732.756401,8300.802247,8666.38187,8974.509624,9477.966201,9515.410625,9551.115847,9529.049401,9483.59266,9205.278025,8928.125406,8599.502853,8513.461109,8444.745523,8212.825845,8215.214344,8307.335513,7701.367357,7273.343594,7139.627877,7460.820509,6909.710196,6764.608885,6584.704431,6219.899917,6003.063802,5924.667327,5825.586695,6038.687631,5530.798416,5297.476754,5341.174926,5777.326022,5234.349368,5074.156762,5065.914275,4827.667689,4680.486479,4171.820998,3730.99664,4191.043234,3189.760999,3174.117053,3430.38859,3608.136273,3355.720891,3363.445378,3297.311356,3123.612147,2893.092189,2837.549183,2545.187169,2332.657724,2315.238246,2160.573058,1871.697269,1749.296631,1653.448229,1417.247789,1355.393139,1120.822127,875.382036,785.84739,624.410786,589.63658,445.154167,376.089962,288.214058,214.346426,185.063474,90.472682,101.994742,51.861186,33.634258,23.166654,13,21.25517,"2005hombres.xls","2005","hombres"
"10","08 Barcelona",2525981.073322,30011.121125,29310.190828,27508.681836,26608.412599,25859.437258,24789.494785,24011.047839,23705.172375,23121.177133,22559.854211,22700.083636,22900.137263,23425.021585,23227.876303,23655.142183,24026.917042,24398.557604,25104.173107,25889.985368,27745.508179,29145.975258,31090.088627,34304.056552,37600.155537,40319.64602,43516.405229,47360.390049,49027.474658,51228.589575,52618.602914,52212.781348,50567.432853,49721.530845,48767.126715,47678.749114,45808.595308,44940.078534,44934.856524,43823.543919,42652.963756,42892.717856,39735.444596,38664.361344,36980.469747,37226.560875,36301.563403,36184.575885,35133.69481,33428.050316,32408.893973,31357.005976,31358.096322,31422.557917,29565.042028,28756.699088,30625.95691,32071.635786,29539.561279,27575.359545,29659.554345,27444.979902,26681.24161,22495.773236,21096.609377,27115.357646,15344.195006,18596.632184,22025.658823,22431.789569,21433.080357,20773.319944,21035.387249,20074.934517,18870.452952,18231.970381,16623.543843,15648.146452,14337.851543,13859.960288,12627.284348,11606.857913,10397.945507,8983.604608,8058.176535,6208.802644,4857.924065,4149.618187,3461.699432,2926.318548,2426.498562,1972.749074,1492.893609,1242.344316,842.760251,685.735193,421.448242,264.171886,175.746406,127.86673,68.901024,96.003768,"2005hombres.xls","2005","hombres"
